,Unnamed: 0,Date,Permit Number,Status,Permit Type,County,State
4831,4405.0,2017-02-17,B201701364,Final,Residential Pools and Spas,maricopa,AZ
4832,4406.0,2017-02-15,B201701313,Final,Residential Pools and Spas,maricopa,AZ
4833,4407.0,2017-02-15,B201701270,Final,Residential Pools and Spas,maricopa,AZ
4834,4408.0,2017-02-15,B201701255,Final,Residential Pools and Spas,maricopa,AZ
4835,4409.0,2017-02-14,B201701246,Final,Residential Pools and Spas,maricopa,AZ
4836,4410.0,2017-02-14,B201701240,Final,Residential Pools and Spas,maricopa,AZ
4837,4411.0,2017-02-14,B201701227,Final,Residential Pools and Spas,maricopa,AZ
4838,4412.0,2017-02-13,B201701201,Final,Residential Pools and Spas,maricopa,AZ
4839,4413.0,2017-02-10,B201701166,Final,Residential Pools and Spas,maricopa,AZ
4840,4414.0,2017-02-10,B201701163,Final,Residential Pools and Spas,maricopa,AZ
4841,4415.0,2017-02-10,B201701160,Final,Residential Pools and Spas,maricopa,AZ
4842,4416.0,2017-02-10,B201701144,Final,Residential Pools and Spas,maricopa,AZ
4843,4417.0,2017-02-09,B201701118,Issued,Residential Pools and Spas,maricopa,AZ
4844,4418.0,2017-02-09,B201701097,Final,Residential Pools and Spas,maricopa,AZ
4845,4419.0,2017-02-09,B201701094,Final,Residential Pools and Spas,maricopa,AZ
4846,4420.0,2017-02-08,B201701056,Terminate,Residential Pools and Spas,maricopa,AZ
4847,4421.0,2017-02-08,B201701044,Final,Residential Pools and Spas,maricopa,AZ
4848,4422.0,2017-02-07,B201701035,Final,Residential Pools and Spas,maricopa,AZ
4849,4423.0,2017-02-07,B201701034,Final,Residential Pools and Spas,maricopa,AZ
4850,4424.0,2017-02-06,B201701012,Final,Residential Pools and Spas,maricopa,AZ
4851,4425.0,2017-02-06,B201701003,Final,Residential Pools and Spas,maricopa,AZ
4852,4426.0,2017-02-06,B201701000,Final,Residential Pools and Spas,maricopa,AZ
4853,4427.0,2017-02-06,B201700989,Final,Residential Pools and Spas,maricopa,AZ
4854,4428.0,2017-02-06,B201700986,Final,Residential Pools and Spas,maricopa,AZ
4855,4429.0,2017-02-06,B201700985,Final,Residential Pools and Spas,maricopa,AZ
4856,4430.0,2017-02-03,B201700938,Final,Residential Pools and Spas,maricopa,AZ
4857,4431.0,2017-02-03,B201700935,Final,Residential Pools and Spas,maricopa,AZ
4858,4432.0,2017-02-03,B201700934,Final,Residential Pools and Spas,maricopa,AZ
4859,4433.0,2017-02-02,B201700899,Final,Residential Pools and Spas,maricopa,AZ
4860,4434.0,2017-02-02,B201700889,Final,Residential Pools and Spas,maricopa,AZ
4861,4435.0,2017-02-01,B201700872,Final,Residential Pools and Spas,maricopa,AZ
4862,4436.0,2017-02-01,B201700861,Final,Residential Pools and Spas,maricopa,AZ
4863,4437.0,2017-02-01,B201700834,Final,Residential Pools and Spas,maricopa,AZ
4864,4438.0,2017-01-30,B201700759,Final,Residential Pools and Spas,maricopa,AZ
4865,4439.0,2017-01-27,B201700735,Final,Residential Pools and Spas,maricopa,AZ
4866,4440.0,2017-01-27,B201700734,Final,Residential Pools and Spas,maricopa,AZ
4867,4441.0,2017-01-27,B201700716,Final,Residential Pools and Spas,maricopa,AZ
4868,4442.0,2017-01-25,B201700668,Final,Residential Pools and Spas,maricopa,AZ
4869,4443.0,2017-01-25,B201700638,Final,Residential Pools and Spas,maricopa,AZ
4870,4444.0,2017-01-23,B201700591,Final,Residential Pools and Spas,maricopa,AZ
4871,4445.0,2017-01-23,B201700590,Final,Residential Pools and Spas,maricopa,AZ
4872,4446.0,2017-01-23,B201700585,Final,Residential Pools and Spas,maricopa,AZ
4873,4447.0,2017-01-23,B201700580,Issued,Residential Pools and Spas,maricopa,AZ
4874,4448.0,2017-01-20,B201700553,Final,Residential Pools and Spas,maricopa,AZ
4875,4449.0,2017-01-20,B201700548,Final,Residential Pools and Spas,maricopa,AZ
4876,4450.0,2017-01-20,B201700546,Final,Residential Pools and Spas,maricopa,AZ
4877,4451.0,2017-01-20,B201700531,Final,Residential Pools and Spas,maricopa,AZ
4878,4452.0,2017-01-19,B201700516,Final,Residential Pools and Spas,maricopa,AZ
4879,4453.0,2017-01-19,B201700514,Final,Residential Pools and Spas,maricopa,AZ
4880,4454.0,2017-01-18,B201700493,Final,Residential Pools and Spas,maricopa,AZ
4881,4455.0,2017-01-18,B201700487,Final,Residential Pools and Spas,maricopa,AZ
4882,4456.0,2017-01-18,B201700466,Final,Residential Pools and Spas,maricopa,AZ
4883,4457.0,2017-01-18,B201700461,Final,Residential Pools and Spas,maricopa,AZ
4884,4458.0,2017-01-17,B201700435,Terminate,Residential Pools and Spas,maricopa,AZ
4885,4459.0,2017-01-17,B201700434,Final,Residential Pools and Spas,maricopa,AZ
4886,4460.0,2017-01-17,B201700412,Final,Residential Pools and Spas,maricopa,AZ
4887,4461.0,2017-01-17,B201700409,Final,Residential Pools and Spas,maricopa,AZ
4888,4462.0,2017-01-17,B201700408,Final,Residential Pools and Spas,maricopa,AZ
4889,4463.0,2017-01-13,B201700397,Final,Residential Pools and Spas,maricopa,AZ
4890,4464.0,2017-01-13,B201700390,Final,Residential Pools and Spas,maricopa,AZ
4891,4465.0,2017-01-13,B201700389,Final,Residential Pools and Spas,maricopa,AZ
4892,4466.0,2017-01-13,B201700382,Final,Residential Pools and Spas,maricopa,AZ
4893,4467.0,2017-01-12,B201700338,Final,Residential Pools and Spas,maricopa,AZ
4894,4468.0,2017-01-12,B201700320,Final,Residential Pools and Spas,maricopa,AZ
4895,4469.0,2017-01-12,B201700313,Final,Residential Pools and Spas,maricopa,AZ
4896,4470.0,2017-01-10,B201700249,Final,Residential Pools and Spas,maricopa,AZ
4897,4471.0,2017-01-10,B201700248,Final,Residential Pools and Spas,maricopa,AZ
4898,4472.0,2017-01-10,B201700247,Final,Residential Pools and Spas,maricopa,AZ
4899,4473.0,2017-01-06,B201700183,Final,Residential Pools and Spas,maricopa,AZ
4900,4474.0,2017-01-06,B201700157,Final,Residential Pools and Spas,maricopa,AZ
4901,4475.0,2017-01-06,B201700155,Final,Residential Pools and Spas,maricopa,AZ
4902,4476.0,2017-01-06,B201700153,Final,Residential Pools and Spas,maricopa,AZ
4903,4477.0,2017-01-06,B201700151,Final,Residential Pools and Spas,maricopa,AZ
4904,4478.0,2017-01-06,B201700150,Final,Residential Pools and Spas,maricopa,AZ
4905,4479.0,2017-01-06,B201700148,Final,Residential Pools and Spas,maricopa,AZ
4906,4480.0,2017-01-04,B201700050,Final,Residential Pools and Spas,maricopa,AZ
4907,4481.0,2017-01-04,B201700045,Final,Residential Pools and Spas,maricopa,AZ
4908,4482.0,2017-01-03,B201700019,Final,Residential Pools and Spas,maricopa,AZ
4909,4483.0,2017-01-03,B201700018,Final,Residential Pools and Spas,maricopa,AZ
4910,4484.0,2016-12-30,B201609521,Final,Residential Pools and Spas,maricopa,AZ
4911,4485.0,2016-12-29,B201609506,Final,Residential Pools and Spas,maricopa,AZ
4912,4486.0,2016-12-29,B201609503,Final,Residential Pools and Spas,maricopa,AZ
4913,4487.0,2016-12-29,B201609501,Final,Residential Pools and Spas,maricopa,AZ
4914,4488.0,2016-12-27,B201609428,Final,Residential Pools and Spas,maricopa,AZ
4915,4489.0,2016-12-27,B201609427,Final,Residential Pools and Spas,maricopa,AZ
4916,4490.0,2016-12-22,B201609370,Final,Residential Pools and Spas,maricopa,AZ
4917,4491.0,2016-12-22,B201609369,Final,Residential Pools and Spas,maricopa,AZ
4918,4492.0,2016-12-22,B201609368,Final,Residential Pools and Spas,maricopa,AZ
4919,4493.0,2016-12-20,B201609298,Final,Residential Pools and Spas,maricopa,AZ
4920,4494.0,2016-12-20,B201609295,Final,Residential Pools and Spas,maricopa,AZ
4921,4495.0,2016-12-19,B201609260,Final,Residential Pools and Spas,maricopa,AZ
4922,4496.0,2016-12-19,B201609257,Final,Residential Pools and Spas,maricopa,AZ
4923,4497.0,2016-12-19,B201609255,Final,Residential Pools and Spas,maricopa,AZ
4924,4498.0,2016-12-19,B201609246,Final,Residential Pools and Spas,maricopa,AZ
4925,4499.0,2016-12-19,B201609245,Final,Residential Pools and Spas,maricopa,AZ
4926,4500.0,2016-12-16,B201609222,Final,Residential Pools and Spas,maricopa,AZ
4927,4501.0,2016-12-16,B201609220,Final,Residential Pools and Spas,maricopa,AZ
4928,4502.0,2016-12-16,B201609218,Final,Residential Pools and Spas,maricopa,AZ
4929,4503.0,2016-12-15,B201609190,Final,Residential Pools and Spas,maricopa,AZ
4930,4504.0,2016-12-14,B201609175,QC OTC,Residential Pools and Spas,maricopa,AZ
4931,4505.0,2016-12-14,B201609174,Final,Residential Pools and Spas,maricopa,AZ
4932,4506.0,2016-12-14,B201609173,Final,Residential Pools and Spas,maricopa,AZ
4933,4507.0,2016-12-12,B201609107,Issued,Residential Pools and Spas,maricopa,AZ
4934,4508.0,2016-12-12,B201609089,Final,Residential Pools and Spas,maricopa,AZ
4935,4509.0,2016-12-09,B201609049,Final,Residential Pools and Spas,maricopa,AZ
4936,4510.0,2016-12-09,B201609048,Final,Residential Pools and Spas,maricopa,AZ
4937,4511.0,2016-12-09,B201609047,Final,Residential Pools and Spas,maricopa,AZ
4938,4512.0,2016-12-09,B201609046,Final,Residential Pools and Spas,maricopa,AZ
4939,4513.0,2016-12-08,B201609026,Final,Residential Pools and Spas,maricopa,AZ
4940,4514.0,2016-12-08,B201609018,Final,Residential Pools and Spas,maricopa,AZ
4941,4515.0,2016-12-06,B201608947,Final,Residential Pools and Spas,maricopa,AZ
4942,4516.0,2016-12-06,B201608940,Final,Residential Pools and Spas,maricopa,AZ
4943,4517.0,2016-12-06,B201608933,Final,Residential Pools and Spas,maricopa,AZ
4944,4518.0,2016-12-05,B201608899,Final,Residential Pools and Spas,maricopa,AZ
4945,4519.0,2016-12-05,B201608898,Final,Residential Pools and Spas,maricopa,AZ
4946,4520.0,2016-12-05,B201608897,Final,Residential Pools and Spas,maricopa,AZ
4947,4521.0,2016-11-30,B201608761,Final,Residential Pools and Spas,maricopa,AZ
4948,4522.0,2016-11-30,B201608749,Final,Residential Pools and Spas,maricopa,AZ
4949,4523.0,2016-11-30,B201608747,Final,Residential Pools and Spas,maricopa,AZ
4950,4524.0,2016-11-30,B201608746,Final,Residential Pools and Spas,maricopa,AZ
4951,4525.0,2016-11-29,B201608728,Issued,Residential Pools and Spas,maricopa,AZ
4952,4526.0,2016-11-28,B201608675,Final,Residential Pools and Spas,maricopa,AZ
4953,4527.0,2016-11-28,B201608674,Final,Residential Pools and Spas,maricopa,AZ
4954,4528.0,2016-11-28,B201608673,Final,Residential Pools and Spas,maricopa,AZ
4955,4529.0,2016-11-28,B201608672,Final,Residential Pools and Spas,maricopa,AZ
4956,4530.0,2016-11-21,B201608598,Final,Residential Pools and Spas,maricopa,AZ
4957,4531.0,2016-11-21,B201608575,Final,Residential Pools and Spas,maricopa,AZ
4958,4532.0,2016-11-21,B201608566,Final,Residential Pools and Spas,maricopa,AZ
4959,4533.0,2016-11-21,B201608564,Final,Residential Pools and Spas,maricopa,AZ
4960,4534.0,2016-11-18,B201608554,Final,Residential Pools and Spas,maricopa,AZ
4961,4535.0,2016-11-18,B201608550,Final,Residential Pools and Spas,maricopa,AZ
