"Date","Record Number","Record Type","Project Name","Address","Status","Short Notes",
"03/25/2021","K202102438","Residential Pool",,"3800 VERDUGO LN, BAKERSFIELD CA","Finaled",,
"03/24/2021","K202102403","Residential Pool",,"15801 QUINTERO PL, BAKERSFIELD CA","Issued",,
"03/24/2021","K202102382","Residential Pool",,"22604 TALLYHO CT, TEHACHAPI CA","Applied",,
"03/23/2021","K202102355","Residential Pool",,"5408 PIONEER DR, BAKERSFIELD CA","In Review",,
"03/23/2021","K202102348","Residential Pool",,"13101 LAS POSIDAS CT, BAKERSFIELD CA","Issued",,
"03/23/2021","K202102347","Residential Pool",,"14912 MISTLETOE AV, BAKERSFIELD CA","Issued",,
"03/23/2021","K202102346","Residential Pool",,"8025 PEANUT AV, BAKERSFIELD CA","Finaled",,
"03/23/2021","K202102321","Residential Pool",,"7908 JILL JEAN AV, BAKERSFIELD CA","Issued",,
"03/19/2021","K202102265","Residential Pool",,"8824 CRIPPLE CREEK AV, BAKERSFIELD CA","Finaled",,
"03/17/2021","K202102147","Residential Pool",,"6 DURWOOD ST, KERNVILLE CA","Issued",,
"03/17/2021","K202102145","Residential Pool",,"15453 ARABELLA AV, BAKERSFIELD CA","Issued",,
"03/17/2021","K202102142","Residential Pool",,"8814 HICKORY HILLS AV, BAKERSFIELD CA","Finaled",,
"03/17/2021","K202102140","Residential Pool",,"15000 RYE FIELD DR, BAKERSFIELD CA","Finaled",,
"03/17/2021","K202102138","Residential Pool",,"9001 CRIPPLE CREEK AV, BAKERSFIELD CA","Issued",,
"03/16/2021","K202102085","Residential Pool",,"13125 LAS POSIDAS CT, BAKERSFIELD CA","Finaled",,
"03/15/2021","K202102068","Residential Pool",,"15631 JOSEPH PHELPS AV, KERN COUNTY CA","Issued",,
"03/12/2021","K202102011","Residential Pool",,"6707 LUCILLE AV, BAKERSFIELD CA","Finaled",,
"03/09/2021","K202101871","Residential Pool",,"16711 BELLEWOOD PL, BAKERSFIELD CA","Issued",,
"03/09/2021","K202101862","Residential Pool",,"9043 WILSON RD, BAKERSFIELD CA","Finaled",,
"03/08/2021","K202101831","Residential Pool",,"15049 MAHOGANY CT, BAKERSFIELD CA","Finaled",,
"03/08/2021","K202101827","Residential Pool",,"16418 BLACK HAWK AV, BAKERSFIELD CA","Finaled",,
"03/05/2021","K202101787","Residential Pool",,"15449 OPUS ONE DR, BAKERSFIELD CA","Finaled",,
"03/05/2021","K202101788","Residential Pool",,"21351 MARENGO WY, TEHACHAPI CA","Finaled",,
"03/04/2021","K202101730","Residential Pool",,"3225 AVIARY WY, BAKERSFIELD CA","Issued",,
"03/03/2021","K202101689","Residential Pool",,"16000 CLARISSE ST, BAKERSFIELD CA","Finaled",,
"03/03/2021","K202101681","Residential Pool",,"14318 ROWLAND AV, BAKERSFIELD CA","Finaled",,
"03/02/2021","K202101634","Residential Pool",,"27791 CLEAR CREEK RD, KEENE CA","Issued",,
"03/01/2021","K202101603","Residential Pool",,"15127 MAHOGANY CT, BAKERSFIELD CA","Finaled",,
"02/25/2021","K202101535","Residential Pool",,"7208 BLUETAIL LN, BAKERSFIELD CA","Finaled",,
"02/25/2021","K202101529","Residential Pool",,"15107 MISTLETOE AV, BAKERSFIELD CA","Finaled",,
"02/24/2021","K202101491","Residential Pool",,"15459 SCREAMING EAGLE AV, BAKERSFIELD CA","Finaled",,
"02/24/2021","K202101492","Residential Pool",,"443 BRITE MEADOW CT, BAKERSFIELD CA","Finaled",,
"02/24/2021","K202101489","Residential Pool",,"27791 CLEAR CREEK RD, KEENE CA","Canceled",,
"02/24/2021","K202101471","Residential Pool",,"5056 REDBANK RD, BAKERSFIELD CA","Finaled",,
"02/24/2021","K202101470","Residential Pool",,"15648 OPUS ONE DR, BAKERSFIELD CA","Finaled",,
"02/23/2021","K202101433","Residential Pool",,"19040 SHAFTER AV, SHAFTER CA","Finaled",,
"02/23/2021","K202101429","Residential Pool",,"2012 DEERFIELD ST, BAKERSFIELD CA","Issued",,
"02/23/2021","K202101406","Residential Pool",,"9516 VAL DI CHIANA DR, BAKERSFIELD CA","Finaled",,
"02/23/2021","K202101405","Residential Pool",,"28880 SHANNON CT, TEHACHAPI CA 93561","Issued",,
"02/23/2021","K202101400","Residential Pool",,"14334 SEARSPOINT AV, BAKERSFIELD CA","Finaled",,
"02/16/2021","K202101179","Residential Pool",,"15002 MAHOGANY CT, KERN COUNTY CA","Finaled",,
"02/12/2021","K202101135","Residential Pool",,"3410 WEXFORD PL, BAKERSFIELD CA","Finaled",,
"02/11/2021","K202101084","Residential Pool",,"15017 MISTLETOE AV, BAKERSFIELD CA","Finaled",,
