"Date","Record Number","Record Type","Project Name","Address","Status","Short Notes",
"04/26/2021","2021-0349","City Commercial Pool","NEW HEATED POOL FOR HOTEL","1010 N CHINA LAKE, RIDGECREST CA 93555","In Review",,
"08/11/2015","15-0409","City Commercial Pool",,"1212 N EL PRADO, RIDGECREST CA 93555","Finaled",,
"09/23/2014","14-0527","City Commercial Pool","POOL","1084 N CYNTHIA, RIDGECREST CA 93555","Finaled",,
"08/16/2012","12-0228","City Commercial Pool",,"930 N NORMA ST, RIDGECREST CA","Applied",,
